2026-05-07 12:07:59,705 | INFO     | src.models.lstm_model | [LSTM] Louisiana — training complete.
2026-05-07 12:08:01,075 | INFO     | src.models.lstm_model | [LSTM] Louisiana metrics: {'rmse': 79371572.6609, 'mae': 74542456.3693, 'mape': 68.1091}
2026-05-07 12:08:08,361 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Louisiana_lstm.pkl
2026-05-07 12:08:08,361 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:08:08,361 | INFO     | train_all | Processing state: Maine
2026-05-07 12:08:08,366 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:08:08,366 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Maine
2026-05-07 12:08:08,366 | ERROR    | train_all |   [SARIMA] Failed for Maine: max_p must be >= start_p
2026-05-07 12:08:08,366 | INFO     | src.models.prophet_model | [Prophet] Training for state: Maine
2026-05-07 12:08:08,369 | ERROR    | train_all |   [Prophet] Failed for Maine: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:08:08,369 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Maine
2026-05-07 12:08:08,608 | INFO     | src.models.xgboost_model | [XGBoost] Maine metrics: {'rmse': 19920987.4858, 'mae': 13984692.9613, 'mape': 68.0734}
2026-05-07 12:08:08,718 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Maine_xgboost.pkl
2026-05-07 12:08:08,718 | INFO     | src.models.lstm_model | [LSTM] Training for state: Maine
2026-05-07 12:08:12,157 | INFO     | src.models.lstm_model | [LSTM] Maine — training complete.
2026-05-07 12:08:14,991 | INFO     | src.models.lstm_model | [LSTM] Maine metrics: {'rmse': 20161036.1523, 'mae': 18810575.9559, 'mape': 69.1493}
2026-05-07 12:08:33,965 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Maine_lstm.pkl
2026-05-07 12:08:33,965 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:08:33,965 | INFO     | train_all | Processing state: Maryland
2026-05-07 12:08:33,984 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:08:33,985 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Maryland
2026-05-07 12:08:33,986 | ERROR    | train_all |   [SARIMA] Failed for Maryland: max_p must be >= start_p
2026-05-07 12:08:33,988 | INFO     | src.models.prophet_model | [Prophet] Training for state: Maryland
2026-05-07 12:08:33,992 | ERROR    | train_all |   [Prophet] Failed for Maryland: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:08:33,993 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Maryland
2026-05-07 12:08:34,599 | INFO     | src.models.xgboost_model | [XGBoost] Maryland metrics: {'rmse': 91229166.9477, 'mae': 64261798.1224, 'mape': 69.1807}
2026-05-07 12:08:35,023 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Maryland_xgboost.pkl
2026-05-07 12:08:35,024 | INFO     | src.models.lstm_model | [LSTM] Training for state: Maryland
2026-05-07 12:08:43,699 | INFO     | src.models.lstm_model | [LSTM] Maryland — training complete.
2026-05-07 12:08:45,143 | INFO     | src.models.lstm_model | [LSTM] Maryland metrics: {'rmse': 70616686.7879, 'mae': 67000044.0459, 'mape': 66.6285}
2026-05-07 12:08:54,603 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Maryland_lstm.pkl
2026-05-07 12:08:54,603 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:08:54,605 | INFO     | train_all | Processing state: Massachusetts
2026-05-07 12:08:54,612 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:08:54,612 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Massachusetts
2026-05-07 12:08:54,612 | ERROR    | train_all |   [SARIMA] Failed for Massachusetts: max_p must be >= start_p
